EN,FR
i m always moody .,je suis toujours de mauvaise humeur .
he is always laughing .,il est toujours en train de rire .
he is always laughing .,il rit constamment .
i m always very nervous .,je suis toujours tres nerveux .
i m always under pressure .,je suis toujours sous pression .
i m always thirsty .,j ai toujours soif .
we re ready to leave .,nous sommes prets a partir .
i m always ready for death .,je suis toujours pret a mourir .
i am always ready to help you .,je t aide quand tu veux .
he is nice .,c est une bonne personne .
i m painting easter eggs .,je decore des ufs de paques .
i am going to get that sucker .,je vais me faire ce jobard .
i am going to get that sucker .,je vais chercher cette ventouse .
i am very pleased to meet them .,je suis ravi de les rencontrer .
they are too close .,ils sont trop proches .
he is capable of treachery .,il est capable de trahison .
he s going to have a heart attack .,il va avoir une attaque cardiaque .
he is a saint of a man .,c est un saint .
he is sixty if a day .,il a au moins soixante ans .
he is watching my every move .,il observe mon moindre mouvement .
he is a cheerful old man .,c est un vieil homme chaleureux .
he is a doctor and a university professor .,il est docteur et professeur d universite .
i m not about to ask him .,je ne suis pas la de lui demander .
he is directly above me .,cet homme est mon chef direct .
she is always finding fault with other people .,elle trouve toujours a redire aux autres .
she is no beauty .,ce n est pas une beaute .
he is a slim child .,c est un enfant mince .
he is very mean to me .,il est tres mechant avec moi .
she is always smiling .,elle est toujours en train de sourire .
we are going to climb that mountain .,nous allons gravir cette montagne .
we are going to climb that mountain .,nous avons l intention de gravir cette montagne .
i m staying at that hotel .,je reste a cet hotel .
i m on your side .,je suis de votre cote .
i m sorry i misunderstood you .,je suis desolee de vous avoir mal compris .
you re not satisfied are you ?,tu n es pas content si ?
you re not satisfied are you ?,vous n etes pas satisfait si ?
you are a beautiful butterfly .,tu es un beau papillon .
you are taller than she .,vous etes plus grand qu elle .
you are taller than she .,tu es plus grand qu elle .
you are taller than she .,tu es plus grande qu elle .
you are taller than she .,vous etes plus grande qu elle .
you are taller than she .,vous etes plus grands qu elle .
you are taller than she .,vous etes plus grandes qu elle .
you are overworked .,tu es surmene .
you are sharp .,tu es malin .
you are very beautiful .,vous etes tres belle .
you are very beautiful .,tu es tres belle .
you are a teacher .,tu es professeur .
you are not a student .,tu n es pas un etudiant .
you are not kind .,vous n etes pas gentil .
i m afraid you misunderstood me .,je crains que tu m aies mal compris .
i m afraid you misunderstood me .,je crains que tu m aies mal comprise .
you are taller than i .,tu es plus grand que moi .
you are taller than i .,tu es plus grande que moi .
you are taller than i .,vous etes plus grand que moi .
you are taller than i .,vous etes plus grande que moi .
you are taller than i .,vous etes plus grands que moi .
you are taller than i .,vous etes plus grandes que moi .
you are not as short as i .,tu n es pas aussi petit que moi .
you are not shorter than i .,tu n es pas plus petit que moi .
you are my pride and joy .,tu es ma fierte et ma joie .
you are as tall as my sister .,tu es aussi grande que ma s ur .
you are as tall as my sister .,tu es aussi grand que ma s ur .
you are twice as strong as i .,tu es deux fois plus fort que moi .
you are twice as strong as i .,tu es deux fois plus forte que moi .
you are twice as strong as i .,vous etes deux fois plus fort que moi .
you are twice as strong as i .,vous etes deux fois plus forte que moi .
you are twice as strong as i .,vous etes deux fois plus forts que moi .
you are twice as strong as i .,vous etes deux fois plus fortes que moi .
you are too kind to me .,vous etes trop gentil avec moi .
you are too kind to me .,vous etes trop gentille avec moi .
you are the tallest of us all .,tu es le plus grand de nous tous .
you are trusted by every one of us .,chacun de nous te fait confiance .
you are trusted by every one of us .,tu as la confiance de tous .
you aren t busy now are you ?,tu es disponible maintenant ?
you aren t busy now are you ?,tu n es pas occupe maintenant si ?
you are busy now aren t you ?,tu es occupe en ce moment ?
you are singing now .,tu chantes a present .
you are now on the way to recovery .,vous etes maintenant en voie de retablissement .
you re too young to marry .,tu es trop jeune pour te marier .
you are stupid .,tu es bete .
you are crazy .,tu es fou .
you are crazy .,toi tu es fou .
you are crazy .,tu es folle .
you re in luck .,tu es veinard .
you re in luck .,tu es veinarde .
you re in luck .,vous etes veinard .
you re in luck .,vous etes veinards .
you re in luck .,vous etes veinarde .
you re in luck .,vous etes veinardes .
you are not a doctor .,vous n etes pas un medecin .
you are a bad boy .,tu es un mauvais garcon .
you are simon son of john .,tu es simon fils de jean .
you are not a child anymore .,tu n es plus un enfant .
you are sitting between meg and me .,tu es assis entre meg et moi .
you are absolutely right .,tu as parfaitement raison .
you are absolutely right .,vous avez parfaitement raison .
you re still young .,tu es encore jeune .
you re still young .,vous etes encore jeune .
you re still young .,vous etes encore jeunes .
you are very attractive in blue .,le bleu vous sied superbement .
you are very attractive in blue .,le bleu vous va tres bien .
you are very attractive in blue .,vous etes tres jolie en bleu .
you are beautifully dressed .,vous etes bien habillee .
you are beautifully dressed .,vous etes bien habille .
you are beautifully dressed .,vous etes bien habilles .
you are beautifully dressed .,vous etes bien habillees .
you are beautifully dressed .,tu es bien habillee .
you are beautifully dressed .,tu es bien habille .
you re looking very well .,tu as l air tres bien .
you re looking very well .,vous avez l air tres bien .
you are very rich .,tu es tres riche .
you are very rich .,vous etes tres riche .
you are very rich .,vous etes tres riches .
you are very rich .,vous etes fort riche .
you are very rich .,vous etes fort riches .
you re respected by everybody .,vous etes respecte de tous .
you are liable for the debt .,vous etes redevable de la dette .
you are a nice boy .,tu es un gentil garcon .
you are to see a doctor at once .,vous devez immediatement voir un medecin .
you re always disagreeing with your boss .,vous etes toujours en desaccord avec votre patron .
you are a pretty girl .,tu es une jolie fille .
you are always late .,tu es toujours en retard .
you are an american boy .,tu es un garcon americain .
you are all too quick .,vous etes tous trop rapides .
you are both pretty and kind .,tu es a la fois mignonne et gentille .
you are both pretty and kind .,tu es a la fois mignon et gentil .
i am filled with admiration for your bravery .,j admire votre bravoure .
i m all for your suggestion .,je suis completement en faveur de ta suggestion .
you are rude .,vous etes grossier .
i am happy to hear your voice .,je me rejouis d entendre votre voix .
i am happy to hear your voice .,je me rejouis d entendre ta voix .
we re very grateful for your hospitality .,nous sommes tres reconnaissants pour votre hospitalite .
i m willing to accept your offer .,je suis d accord d accepter votre offre .
i am anxious about your health .,je suis inquiet pour ta sante .
i m very grateful for your help .,je suis tres reconnaissant pour votre aide .
i am for your opinion .,je suis de ton avis .
i am quite pleased with you .,je suis tres content de toi .
we are glad to help you .,nous sommes heureux de vous aider .
we are all looking forward to your coming .,nous nous rejouissons de votre venue .
i am very glad to see you .,je suis tres heureux de vous voir .
i am very glad to see you .,je suis tres heureux de te voir .
i m happy to see you .,je suis heureux de vous voir .
i am delighted to meet you .,je suis ravi de te rencontrer .
i m very glad to meet you .,je suis tres heureux de vous rencontrer .
i m surprised to see you .,je suis etonne de vous voir .
i m surprised to see you .,je suis surpris de te voir .
i m surprised to see you .,je suis surprise de te voir .
i m surprised to see you .,je suis etonne de te voir .
i m surprised to see you .,je suis surpris de vous voir .
i m surprised to see you .,je suis surprise de vous voir .
i m surprised to see you .,je suis etonnee de vous voir .
i m surprised to see you .,je suis etonnee de te voir .
you re such a pack rat .,t es un vrai thesauriseur .
you re a wonderful guy .,tu es une personne merveilleuse .
you re a wonderful guy .,vous etes une personne merveilleuse .
you re a wonderful guy .,tu es un type genial .
i m glad that you ll come .,je suis heureux que vous veniez .
we are hoping for your quick recovery .,nous vous souhaitons un prompt retablissement .
i m sorry you re leaving us .,c est triste que tu doives partir .
we re almost there .,encore un petit effort .
we re almost there .,nous y sommes presque .
we re almost there .,nous y sommes bientot .
i m sorry my father is out .,je suis desole mon pere est sorti .
